Entity;Gscore;Droit_de_lHomme;Liberte_economique;Inegalite_des_genres;Proportion_denfants_harceles;Corruption;Taux_alphabetisation;HDI;Annees_detudes;Espérance_vie;Budget_militaire_from_GPD;Sous_alimentation;Acces_Internet_pers;Acces_electricite_pers;Pop_urban;Pop_rural
Dominican Republic;6,54;-0,293057049;7,18506935;0,47;26,6;30;92,465424;0,736;7,8;74,081;0,730151763;5,5;67,57124533;100;8953860;1894044
Egypt;3,36;-1,536419686;5,712223766; ;70;35;75,842621;0,696;7,2;71,99;1,180453002;4,7;44,95020425;100;43781728;58552675
El Salvador;5,96;0,246425049;7,133397009;0,384;30,8;35;87,648216;0,674;6,9;73,317;1,194888939;8,9;33,8207289;100;4763725;1722476
Equatorial Guinea;1,92;0,004124115; ; ; ;16;95,195663;0,591;5,5;58,735; ; ;26,23999996;66,59217834;1025582;377403
Estonia;7,97;2,713978606;7,837735993;0,131;37;73;99,823509;0,871;12,7;78,745;2,120434528;2,5;88,10245687;100;921477;409580
Ethiopia;3,35;-1,950493427;5,746327451;0,49900001;50,2;34;49,031521;0,463;2,7;66,597;0,601169492;19,7;18,61805145;48,2716217;24941349;90022234
Finland;9,14;3,154019291;7,620819275;0,056000002;28;85; ;0,92;12,4;81,908;1,481490763;2,5;87,46892907;100;4729705;801014
France;7,8;1,868426729;7,23569039;0,102;32;72; ;0,901;11,5;82,659;1,857220041;2,5;80,50245972;100;54570334;12821248
Gabon;3,61;0,072854102;5,864793558;0,542; ;31;83,237877;0,702;8,2;66,467;1,59301498;16,6;50,32012015;90,68525696;2005203;220525
Gambia;4,31;0,641877161;7,359703603;0,64099997;44,6;37;55,572762;0,46;3,5;62,05;0,824343186;11,9;19,83645444;59,92128754;1512397;904267
Georgia;5,5;0,846184377;8,02;0,361;38,9;58;99,759621;0,78;12,8;73,767;1,989966487;8,2;59,7055046;100;2208084;1505916
Germany;8,68;2,930530899;7,679705306;0,066;30;80; ;0,936;14,1;81,326;1,279500177;2,5;84,3941537;100;64472284;18768241
Ghana;6,63;0,23130234;6,601015102;0,54699999;62;41;76,575897;0,592;7,1;64,074;0,441936078;6,5;37,88415262;83,5;17820023;13252922
Greece;7,29;0,723140758;6,492319707;0,119;29;45;95,29287;0,87;10,8;82,239;2,571972336;2,5;69,89297065;100;8541900;2173649
Guatemala;5,6;0,296720965;7,623024421;0,49399999;36,2;27;79,074211;0,65;6,5;74,302;0,418531309;16,1;40,70304908;95,72457123;8738685;8119648
Guinea;3,14;0,002368991;5,9311292; ;45,6;28;30,47279;0,459;2,6;61,602;2,029174026; ;11,40002077;42,41838837;4842717;8290075
Guinea-Bissau;1,98;1,201649104;5,204764232; ;46,5;16;59,77285;0,455;3;58,322; ; ;3,930509152;31,0404129;869776;1098222
