Countries;GPD;Gender_Gap;Ethnic;Linguistic;Religious;Science_and_Technology;Culture;International_Peace_and_Security;World_Order;Planet_and_Climate;Prosperity_and_Equality;Health_and_Well_being;Emigrants;Suicide_Both_sexes;Suicide_Men;Suicide_Women;National_power;Population;Poverty_pct;HDI;Corruption;Terrorism;Gscore
 Malaysia;10,192;0,677;0,588;0,597;0,6657;52;41;34;40;149;19;46;1689,222;N/A;N/A;N/A;0,004403;31949777;0,4;0,81;51;2,09;6,88
 Benin;1,259;0,658;0,7872;0,7905;0,5544;87;143;117;127;162;66;109;666,357;15,7;22,6;9,6;0,00037;11801151;40,1;0,545;41;0,663;5,74
 Mauritius;8,951;0,665;0,4634;0,4547;0,6385;83;27;56;34;78;25;126;188,344;7,3;12,5;2,2;0,000062;1198575;7,9;0,804;53;0;8,22
 Lesotho;924;0,695;0,255;0,2543;0,7211;148;108;102;118;124;67;100;341,58;28,9;22,7;32,6;0,000098;2125268;57,1;0,527;41;0,048;6,64
 Kuwait;22,252;0,65;0,6604;0,3444;0,6745;127;110;140;81;66;83;20;205,382;2,2;2,5;1,7;0,001352;4207083;N/A;0,806;42;1,795;
 Ghana;2,188;0,673;0,6733;0,6731;0,7987;63;104;66;93;121;107;139;970,625;N/A;N/A;N/A;0,001109;28833629;23,4;0,611;43;1,743;6,63
 Namibia;4,052;0,784;0,6329;0,7005;0,6626;66;42;89;106;103;136;96;195,515;11,5;19,4;4,9;0,000179;2494530;17,4;0,646;51;0;6,25
 Malawi;399;0,664;0,6744;0,6023;0,8192;94;142;60;69;146;111;116;324,541;7,8;13,7;3,2;0,000527;18628747;51,5;0,483;30;1,635;5,49
 Slovakia;18,669;0,718;0,2539;0,2551;0,5655;42;20;113;52;24;142;52;345,683;10,1;18,4;2,6;0,00142;5457013;12,6;0,86;49;0,029;7,1
 Gabon;7,185;N/A;0,769;0,7821;0,6674;151;158;81;96;58;152;128;46,684;9,6;15;4,3;0,000153;2172579;33,4;0,703;30;1,43;3,61
 Bosnia_and_Herzegovina;5,762;N/A;0,63;0,6751;0,6851;16;69;149;35;135;45;95;1653,056;6,4;10,6;2,5;0,0004;3301000;16,9;0,78;35;0,677;4,98
 Croatia;14,033;0,72;0,369;0,0763;0,4447;33;38;146;58;13;10;83;990,012;11,5;18,8;5,1;0,00058;4130304;19,5;0,851;47;0;6,57
 Madagascar;515;0,719;0,8791;0,0204;0,5191;106;97;25;126;153;103;136;184,762;6,9;10,5;3,6;0,000697;26969307;70,7;0,528;25;1,19;5,22
 São_Tomé_and_Príncipe;1,912;N/A;0;0,2322;0,1866;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3,1;4,2;2,1;N/A;215056;66,2;N/A;47;N/A;
 Montenegro;7,933;0,71;N/A;N/A;N/A;48;61;128;41;91;71;134;153,009;7,9;12,6;3,6;0,000133;627987;24;0,829;45;0,42;5,74
 Senegal;1,455;0,684;0,6939;0,7081;0,1497;69;87;43;100;139;59;160;642,654;11,8;20,3;5,2;0,000645;16296364;46,7;0,512;45;0,391;6,15
 Kyrgyzstan;1,148;N/A;0,6752;0,5949;0,447;80;76;121;66;159;60;86;754,969;9,1;14,8;3,7;0,000357;6415850;25,6;0,697;31;0,95;
 Bulgaria;9,826;0,727;0,4021;0,3031;0,5965;14;39;69;32;40;39;53;1541,86;7,9;13,1;3,2;0,001422;7000119;23,4;0,816;44;0,172;7,03
 Kazakhstan;8,782;0,71;0,6171;0,6621;0,5898;116;131;20;110;123;131;72;4005,587;N/A;N/A;N/A;0,003233;18551427;2,5;0,825;38;0,901;2,94
 Hungary;15,373;0,677;0,1522;0,0297;0,5244;3;19;17;43;32;23;33;632,126;13,6;22,2;6,2;0,001556;9684679;14,9;0,854;44;0,551;6,63
 Papua_New_Guinea;2,652;N/A;0,2718;0,3526;0,5523;137;94;130;98;93;161;157;219,126;N/A;N/A;N/A;0,000237;8776109;39,9;0,555;27;0,691;6,03
 Jamaica;5,221;0,735;0,4129;0,1098;0,616;77;86;74;86;101;146;147;1111,021;2;3,2;0,9;0,000192;2948279;19,9;0,734;44;0,229;7,02
 Romania;12,813;0,724;0,3069;0,1723;0,2373;30;31;58;36;37;81;112;3572,794;N/A;N/A;N/A;0,003213;19364557;23,6;0,828;44;0;6,38
 Maldives;12,464;0,646;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3,053;2,7;3,6;1,6;0,000035;530953;8,2;0,74;43;N/A;
 Vanuatu;2,879;N/A;0,0413;0,5794;0,7044;N/A;N/A;N/A;N/A;N/A;N/A;N/A;7,346;5,4;8,1;2,7;0,000006;299882;12,7;0,609;43;N/A;
 Guyana;8,073;N/A;0,6195;0,0688;0,7876;158;68;75;154;116;118;97;520,196;N/A;N/A;N/A;0,000049;782766;N/A;0,682;41;0,477;6,67
 Cambodia;1,572;0,694;0,2105;0,2104;0,0965;153;89;86;138;151;138;65;1097,884;5,9;9;3,2;0,001608;16486542;17,7;0,594;21;0;3,59
 Laos;2,567;0,731;0,5139;0,6382;0,5453;100;145;105;159;41;112;123;N/A;9,3;12,9;6,1;0,000471;7169455;23,4;0,613;29;0,439;2,37
 Vietnam;3,498;0,7;0,2383;0,2377;0,508;128;102;59;158;141;88;99;2683,954;7;10,8;3,4;0,007113;96462106;9,8;0,704;36;0,42;3,08
 Solomon_Islands;2,367;N/A;0,111;0,5254;0,6708;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4,234;5,9;8,5;3,2;0,000013;669823;12,7;0,567;42;N/A;
 Guinea;1,019;0,642;0,7389;0,7725;0,2649;96;132;122;123;156;94;60;530,963;10,5;12,7;8,4;0,000458;12771246;55,2;0,477;28;0,41;3,14
 Palau;14,233;N/A;0,4312;0,3157;0,7147;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2,65;N/A;N/A;N/A;0,000001;18008;24,9;0,826;N/A;N/A;
 Liberia;654;0,685;0,9084;0,9038;0,4883;79;153;154;38;160;128;71;219,338;13,4;13,8;13;0,000223;4937374;50,9;0,48;28;N/A;5,35
 Trinidad_and_Tobago;16,197;0,756;0,6475;0,1251;0,7936;93;71;116;136;111;28;152;334,304;12,9;21,9;4,3;0,000354;1394973;N/A;0,796;40;0,162;7,16
 Sierra_Leone;518;N/A;0,8191;0,7634;0,5395;152;129;151;83;114;129;161;187,102;16,1;18,2;14,2;0,000393;7813215;52,9;0,452;33;0,229;4,66
 Panama;14,09;0,73;0,5528;0,3873;0,3338;99;117;110;27;99;68;54;161,107;4,4;7,6;1,2;0,000196;4246439;22,1;0,815;35;0,019;7,05
 Zambia;1,001;0,731;0,7808;0,8734;0,7359;154;149;57;55;64;121;82;493,087;11,3;17,5;6,2;0,000749;17861030;54,4;0,584;33;0,153;5,61
 Comoros;1,337;N/A;0;0,0103;0,0137;N/A;N/A;N/A;N/A;N/A;N/A;N/A;120,297;11,1;17,6;5,4;0,000024;850886;42,4;0,554;21;N/A;3,71
 Serbia;8,506;0,736;0,5736;0;0;105;78;80;74;83;15;138;950,485;10,9;17,3;5,2;0,000951;8772235;25,7;0,806;38;0,057;6,41
 Congo_Democratic_Republic_of_the;457;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;63,9;0,48;N/A;N/A;1,49
 Suriname;4,199;0,707;0,7332;0,331;0,791;134;80;114;105;95;151;132;423,517;23,2;36,1;10,9;0,000058;581372;N/A;0,738;38;N/A;6,98
 Moldova;4,268;0,757;0,5535;0,5533;0,5603;47;46;9;64;73;22;87;N/A;13,4;24,1;3,8;0,000346;4043263;9,6;0,75;34;0,057;
 Congo_Republic_of_the;2,128;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;46,5;0,574;N/A;N/A;3,31
 El_Salvador;3,821;0,706;0,1978;0;0,3559;121;99;134;147;102;58;42;1600,739;13,5;24,8;4,3;0,000575;6453553;29,2;0,673;36;0;5,96
 Djibouti;3,074;N/A;0,7962;0,6558;0,0435;N/A;N/A;N/A;N/A;N/A;N/A;N/A;18,668;8,5;11,9;5,3;0,000145;97356;21,1;0,524;27;0,038;2,87
 Kosovo;4,141;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;17,6;N/A;36;0;
 Mongolia;3,99;0,706;0,3682;0,3734;0,0799;131;96;28;141;118;33;130;73,488;13,3;23,3;3,8;0,000249;3225167;21,6;0,737;35;N/A;6,5
 Saint_Kitts_and_Nevis;15,246;N/A;0,1842;0;0,6614;N/A;N/A;N/A;N/A;N/A;N/A;N/A;124,941;N/A;N/A;N/A;0,000002;52823;N/A;0,779;N/A;N/A;
 Dominican_Republic;7,445;0,7;0,4294;0,0395;0,3118;122;125;129;51;31;76;81;1558,668;10,5;17,9;3,2;0,000974;10738958;30,5;0,756;28;0;6,54
 Eswatini;3,415;N/A;N/A;N/A;N/A;104;112;156;125;47;55;117;108,188;16,7;25,4;9,6;N/A;1148130;63;0,611;33;0;
 East_Timor;1,456;N/A;0;0,5261;0,4254;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;6,4;9;3,7;N/A;1293119;41,8;0,606;N/A;N/A;7,19
 Equatorial_Guinea;7,131;N/A;0,3467;0,322;0,1195;157;147;111;160;52;163;102;125,67;22;31,3;10,8;0,000109;1355986;76,8;0,592;16;0;1,92
