Countries;GPD;Gender_Gap;Ethnic;Linguistic;Religious;Science_and_Technology;Culture;International_Peace_and_Security;World_Order;Planet_and_Climate;Prosperity_and_Equality;Health_and_Well_being;Emigrants;Suicide_Both_sexes;Suicide_Men;Suicide_Women;National_power;Population;Poverty_pct;HDI;Corruption;Terrorism;Gscore
 Australia;51,885;0,731;0,0929;0,3349;0,8211;20;48;54;6;50;102;13;577,255;N/A;N/A;N/A;0,007612;25203198;N/A;0,944;77;2,148;9,09
 Colombia;5,207;0,758;0,6014;0,0193;0,1478;78;118;15;121;88;119;98;2869,032;7;11,5;2,8;0,006174;50339443;27;0,767;39;6,1;6,96
 Canada;42,08;0,772;0,7124;0,5772;0,6958;29;25;41;11;39;27;8;1323,087;N/A;N/A;N/A;0,010683;37411047;N/A;0,929;77;3,171;9,15
 Sri_Lanka;3,698;0,68;0,415;0,4645;0,4853;117;141;26;78;72;52;78;1775,768;N/A;N/A;N/A;0,001932;21323733;4,1;0,782;38;6,065;6,19
 Angola;2,021;0,66;0,7867;0,787;0,6276;163;148;119;153;44;117;163;661,59;8,9;14;4,6;0,002572;31825295;36,6;0,581;27;3,429;3,62
 Thailand;7,295;0,708;0,6338;0,6344;0,0994;107;54;21;23;138;109;37;1020,119;12,9;21,4;4,8;0,007973;69037513;8,6;0,777;36;5,783;4,63
 United_Kingdom;39,229;0,767;0,1211;0,0532;0,6944;5;11;48;12;11;35;4;4274,998;N/A;N/A;N/A;0,021158;67530172;N/A;0,932;77;5,161;8,53
 Austria;48,634;0,744;0,1068;0,1522;0,4146;6;7;65;1;17;13;28;575,95;11,4;17,5;5,7;0,002979;8955102;N/A;0,922;76;1,016;8,29
 Kenya;2,075;0,671;0,8588;0,886;0,7765;59;83;63;44;63;130;114;525,437;N/A;N/A;N/A;0,001777;52573973;36,1;0,601;31;5,644;5,11
 Belgium;43,814;0,75;0,5554;0,5409;0,2127;9;1;109;13;22;7;16;581,74;15,7;22,2;9,4;0,003858;11539328;N/A;0,931;76;3,043;7,78
 Niger;536;N/A;0,6518;0,6519;0,2013;120;128;101;88;157;51;143;401,653;9;11,5;6,7;0,000505;23310715;44,5;0,394;32;5,617;3,76
 Brazil;6,45;0,691;0,5408;0,0468;0,6054;109;119;61;50;53;162;40;1745,339;6,1;9,7;2,8;0,024545;211049527;26,5;0,765;38;2,443;
 Myanmar;1,333;0,665;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3699,472;8,1;6,3;9,8;0,006395;54045420;32,1;0,583;28;5,543;6,97
 Estonia;22,986;0,751;0,5062;0,4944;0,4985;36;3;93;72;57;37;27;208,257;14,4;25,6;4,4;0,000253;1325648;21,8;0,892;75;0,057;7,97
 Sudan;735;N/A;0,7147;0,719;0,4307;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2040,613;9,5;14,5;4,6;0,003107;42813238;46,5;0,51;16;5,401;2,19
 Antigua_and_Barbuda;14,159;N/A;0,1643;0,1063;0,684;91;74;103;131;68;139;124;55,089;0,5;0;0,9;0,000003;97118;N/A;0,778;N/A;N/A;
 Japan;39,048;0,652;0,0119;0,0178;0,5406;61;45;18;47;33;47;21;838,852;N/A;N/A;N/A;0,042675;126860301;N/A;0,919;74;2,014;7,99
 Ethiopia;974;0,705;0,7235;0,8073;0,6249;N/A;N/A;N/A;N/A;N/A;N/A;N/A;871,747;11,4;18,7;4,7;0,003895;112078730;23,5;0,485;38;5,307;3,35
 United_States;63,051;0,724;0,4901;0,5647;0,8241;38;67;72;29;35;62;10;N/A;N/A;N/A;N/A;0,142149;329064917;N/A;0,926;67;5,26;7,96
 United_Arab_Emirates;31,948;0,655;0,6252;0,4874;0,331;84;53;147;53;115;49;14;154,404;2,7;3,5;0,8;0,00298;9770529;N/A;0,89;71;0;2,76
 Argentina;8,433;0,746;0,255;0,0618;0,2236;75;119;39;49;112;100;122;1013,414;9,1;15;3,5;0,004721;44780677;25,7;0,845;42;1,024;7,02
 Uruguay;15,332;0,737;0,2504;0,0817;0,3548;135;59;6;37;8;135;80;633,439;16,5;26,8;7,1;0,000474;3461734;7,9;0,817;71;0,086;8,38
 Saudi_Arabia;19,587;0,599;0,18;0,0949;0,127;81;136;141;117;122;85;15;296,254;N/A;N/A;N/A;0,010883;34268528;N/A;0,854;53;5;1,93
 France;39,257;0,781;0,1032;0,1221;0,4029;24;14;53;16;3;17;23;2296,534;N/A;N/A;N/A;0,018924;65129728;N/A;0,901;69;4,614;7,8
 Bangladesh;1,888;0,726;0,0454;0,0925;0,209;130;130;87;59;130;132;32;7835,152;N/A;N/A;N/A;0,00806;163046161;24,3;0,632;26;4,909;
 Chad;640;0,596;0,862;0,8635;0,6411;124;135;127;145;131;126;140;206,4;15,5;17,1;13,8;0,000568;15946876;46,7;0,398;21;4,829;1,61
 Bhutan;3,431;0,635;0,605;0,6056;0,3787;N/A;N/A;N/A;N/A;N/A;N/A;N/A;49,216;N/A;N/A;N/A;0,000046;763092;8,2;0,654;68;0;5,3
 Burundi;264;0,745;0,2951;0,2977;0,5158;71;160;125;150;107;92;74;623,999;15;23,1;7,7;0,000562;10864245;64,9;0,433;19;4,702;2,33
 Chile;12,612;0,723;0,1861;0,1871;0,3841;74;51;19;26;43;73;91;650,151;9,7;16;3,8;0,003076;18952038;8,6;0,851;67;4,031;7,97
 Ukraine;3,425;0,721;0,4737;0,4741;0,6157;1;62;108;57;128;72;55;5901,067;N/A;N/A;N/A;0,011835;43993638;2,4;0,779;33;4,692;5,69
 Armenia;4,315;0,684;0,1272;0,1291;0,4576;56;103;136;104;108;48;31;964,848;5,7;10,1;2;0,000614;2957731;25,7;0,776;49;0,53;4,79
 Seychelles;12,323;N/A;0,2025;0,1606;0,2323;89;49;150;60;100;101;120;36,788;8,3;15;2,1;0,000004;97739;39,3;0,796;66;N/A;
 Russia;9,972;0,706;0,2452;0,2485;0,4398;53;101;82;97;67;116;43;N/A;N/A;N/A;N/A;0,039274;145872256;13,2;0,824;30;4,542;2,94
 Taiwan;26,91;N/A;0,2744;0,5028;0,6845;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0,00801;23773876;N/A;0,916;65;0,607;7,73
 Israel;41,56;0,718;0,3436;0,5525;0,3469;34;63;123;84;25;99;51;369,935;5,2;8,2;2,4;0,003638;8519377;N/A;0,919;60;4,522;7,79
 Barbados;16,082;0,749;0,1423;0,0926;0,6934;35;18;126;103;54;32;103;112,925;0,4;0,8;0,3;0,00002;287025;N/A;0,814;64;N/A;
 South_Africa;4,736;0,78;0,7517;0,8652;0,8603;25;65;2;25;150;114;56;824,601;12,8;21,7;5,1;0,006316;58558270;55,5;0,709;44;4,358;7,24
 Qatar;52,751;0,629;0,7456;0,48;0,095;145;114;36;94;62;61;25;171,632;5,8;7,3;1,1;0,000884;2832067;N/A;0,848;63;0,014;3,19
 Mexico;8,069;0,754;0,5418;0,1511;0,1796;95;64;85;99;90;108;48;11796,178;N/A;N/A;N/A;0,012269;127575529;43,6;0,779;31;4,316;6,19
 Spain;26,832;0,795;0,4165;0,4132;0,4514;40;30;71;15;9;34;22;1444,942;N/A;N/A;N/A;0,011389;46736776;N/A;0,904;62;2,81;8,08
 Greece;18,168;0,701;0,1576;0,03;0,153;27;47;115;31;15;50;29;1039,257;3,8;6,1;1,5;0,003813;10473455;N/A;0,888;50;4,182;7,29
